steps,success,collision,stuck,near_collision,min_clearance,recover_triggers,episode_id,difficulty,body_margin,heading_perturb_deg,variant
295,0.0,0.0,0.0,1.0,-0.16871827840805054,1,hm3d_narrow_000143,narrow,0.0335,60.0,no_alignment
237,0.0,0.0,0.0,1.0,-0.16352173686027527,1,hm3d_narrow_000138,narrow,0.0062,60.0,no_alignment
95,0.0,0.0,0.0,1.0,-0.13886305689811707,1,hm3d_narrow_000137,narrow,0.0475,60.0,no_alignment
63,0.0,0.0,0.0,1.0,-0.15328869223594666,1,hm3d_narrow_000132,narrow,0.0106,60.0,no_alignment
167,0.0,0.0,0.0,1.0,-0.16948449611663818,1,hm3d_narrow_000053,narrow,0.0264,60.0,no_alignment
53,0.0,0.0,0.0,1.0,-0.1098528727889061,1,hm3d_narrow_000018,narrow,0.0311,60.0,no_alignment
164,0.0,0.0,0.0,1.0,-0.14801952242851257,1,hm3d_narrow_000019,narrow,0.0206,60.0,no_alignment
189,0.0,0.0,0.0,1.0,-0.1329641491174698,1,hm3d_narrow_000020,narrow,0.0352,60.0,no_alignment
106,0.0,0.0,0.0,1.0,-0.13010583817958832,1,hm3d_narrow_000093,narrow,0.0124,60.0,no_alignment
177,0.0,0.0,0.0,1.0,-0.16777247190475464,1,hm3d_narrow_000091,narrow,0.0182,60.0,no_alignment
73,0.0,0.0,0.0,1.0,-0.16441546380519867,1,hm3d_narrow_000092,narrow,0.0089,60.0,no_alignment
92,0.0,0.0,0.0,1.0,-0.16688835620880127,1,hm3d_narrow_000010,narrow,0.0438,60.0,no_alignment
184,0.0,0.0,0.0,1.0,-0.18000000715255737,1,hm3d_narrow_000011,narrow,0.0107,60.0,no_alignment
49,0.0,0.0,1.0,1.0,-0.15070220828056335,1,hm3d_narrow_000076,narrow,0.0161,60.0,no_alignment
85,0.0,0.0,0.0,1.0,-0.1610265076160431,1,hm3d_narrow_000077,narrow,0.0221,60.0,no_alignment
128,0.0,0.0,0.0,1.0,-0.16475507616996765,1,hm3d_narrow_000129,narrow,0.0299,60.0,no_alignment
60,0.0,0.0,0.0,1.0,-0.1474432498216629,1,hm3d_narrow_000115,narrow,0.0294,60.0,no_alignment
82,0.0,0.0,0.0,1.0,-0.15881814062595367,1,hm3d_narrow_000089,narrow,0.0294,60.0,no_alignment
130,0.0,0.0,0.0,1.0,-0.13403721153736115,1,hm3d_narrow_000040,narrow,0.0426,60.0,no_alignment
1,0.0,0.0,0.0,1.0,-0.05004953593015671,0,hm3d_narrow_000083,narrow,0.0211,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.10372265428304672,0,hm3d_narrow_000078,narrow,0.0401,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.08048068732023239,0,hm3d_narrow_000086,narrow,0.0096,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.052184201776981354,0,hm3d_narrow_000140,narrow,0.0217,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.0222939420491457,0,hm3d_narrow_000147,narrow,0.0089,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.03756914660334587,0,hm3d_narrow_000143,narrow,0.0335,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.08870195597410202,0,hm3d_narrow_000138,narrow,0.0062,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.08443612605333328,0,hm3d_narrow_000137,narrow,0.0475,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.13309501111507416,0,hm3d_narrow_000132,narrow,0.0106,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.07047002762556076,0,hm3d_narrow_000053,narrow,0.0264,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.01842249184846878,0,hm3d_narrow_000018,narrow,0.0311,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.12114133685827255,0,hm3d_narrow_000019,narrow,0.0206,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.08902552723884583,0,hm3d_narrow_000020,narrow,0.0352,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.043925635516643524,0,hm3d_narrow_000093,narrow,0.0124,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.07179901003837585,0,hm3d_narrow_000091,narrow,0.0182,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.13070151209831238,0,hm3d_narrow_000092,narrow,0.0089,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.07844825088977814,0,hm3d_narrow_000010,narrow,0.0438,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.07797632366418839,0,hm3d_narrow_000011,narrow,0.0107,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.000270937685854733,0,hm3d_narrow_000076,narrow,0.0161,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.11155662685632706,0,hm3d_narrow_000077,narrow,0.0221,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.11180774122476578,0,hm3d_narrow_000129,narrow,0.0299,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.030799267813563347,0,hm3d_narrow_000115,narrow,0.0294,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.13135448098182678,0,hm3d_narrow_000089,narrow,0.0294,60.0,no_heading_alignment
1,0.0,0.0,0.0,1.0,-0.09655649960041046,0,hm3d_narrow_000040,narrow,0.0426,60.0,no_heading_alignment
37,1.0,0.0,0.0,1.0,-0.13535264134407043,0,hm3d_narrow_000083,narrow,0.0211,60.0,no_lateral_alignment
44,1.0,0.0,0.0,1.0,-0.13970406353473663,0,hm3d_narrow_000078,narrow,0.0401,60.0,no_lateral_alignment
54,1.0,0.0,0.0,1.0,-0.14731821417808533,0,hm3d_narrow_000086,narrow,0.0096,60.0,no_lateral_alignment
69,1.0,0.0,0.0,1.0,-0.1517217755317688,0,hm3d_narrow_000140,narrow,0.0217,60.0,no_lateral_alignment
116,1.0,0.0,0.0,1.0,-0.11565753072500229,0,hm3d_narrow_000147,narrow,0.0089,60.0,no_lateral_alignment
70,1.0,0.0,0.0,1.0,-0.13523662090301514,0,hm3d_narrow_000143,narrow,0.0335,60.0,no_lateral_alignment
