seed,corridor_type,success,steps
230,straight,0.0,24
231,s_shaped,0.0,11
232,narrow_exit,0.0,12
233,straight,0.0,11
234,asymmetric,0.0,25
235,s_shaped,0.0,10
236,asymmetric,0.0,13
237,s_shaped,0.0,11
238,s_shaped,0.0,17
239,straight,0.0,9
240,narrow_exit,0.0,15
241,l_shaped,0.0,10
242,straight,0.0,13
243,s_shaped,0.0,15
244,straight,0.0,19
245,s_shaped,0.0,10
246,l_shaped,0.0,13
247,narrow_entry,0.0,11
248,narrow_exit,0.0,16
249,false_feasible,0.0,13
250,l_shaped,0.0,10
251,narrow_exit,0.0,11
252,narrow_exit,0.0,11
253,l_shaped,0.0,15
254,s_shaped,0.0,13
255,asymmetric,0.0,9
256,narrow_entry,0.0,10
257,narrow_entry,0.0,16
258,l_shaped,0.0,16
259,narrow_exit,0.0,14
260,false_feasible,0.0,10
261,l_shaped,0.0,18
262,asymmetric,0.0,14
263,l_shaped,0.0,11
264,l_shaped,0.0,12
265,l_shaped,0.0,10
266,l_shaped,0.0,13
267,narrow_exit,0.0,10
268,false_feasible,0.0,13
269,l_shaped,0.0,10
270,l_shaped,0.0,15
271,narrow_entry,0.0,14
272,s_shaped,0.0,14
273,straight,0.0,10
274,false_feasible,0.0,9
275,false_feasible,0.0,15
276,asymmetric,0.0,10
277,s_shaped,0.0,18
278,narrow_exit,0.0,11
279,straight,0.0,11
280,false_feasible,0.0,13
281,s_shaped,0.0,11
282,narrow_exit,0.0,12
283,narrow_entry,0.0,19
284,narrow_exit,0.0,14
285,straight,0.0,12
286,s_shaped,0.0,14
287,asymmetric,0.0,15
288,narrow_entry,0.0,14
289,asymmetric,0.0,12
290,l_shaped,0.0,15
291,straight,0.0,10
292,narrow_entry,0.0,16
293,narrow_exit,0.0,10
294,narrow_exit,0.0,12
295,straight,0.0,14
296,narrow_exit,0.0,13
297,straight,0.0,11
298,s_shaped,0.0,13
299,narrow_entry,0.0,13
300,narrow_exit,0.0,12
301,s_shaped,0.0,11
302,narrow_entry,0.0,16
303,l_shaped,0.0,12
304,narrow_exit,0.0,11
305,narrow_entry,0.0,17
306,straight,0.0,11
307,narrow_exit,0.0,16
308,narrow_exit,0.0,13
