method,paper_method,avg_min_body_margin_mean,avg_min_body_margin_std,avg_steps_mean,avg_steps_std,collision_rate_mean,collision_rate_std,correct_reject_rate_mean,correct_reject_rate_std,episodes_per_eval_seed,eval_seeds,false_reject_rate_mean,false_reject_rate_std,near_collision_rate_mean,near_collision_rate_std,sr_asymmetric_mean,sr_asymmetric_std,sr_false_feasible_mean,sr_false_feasible_std,sr_l_shaped_mean,sr_l_shaped_std,sr_narrow_entry_mean,sr_narrow_entry_std,sr_narrow_exit_mean,sr_narrow_exit_std,sr_s_shaped_mean,sr_s_shaped_std,sr_straight_mean,sr_straight_std,strict_success_rate_mean,strict_success_rate_std,success_rate_mean,success_rate_std,timeout_or_stuck_rate_mean,timeout_or_stuck_rate_std
geometry_rule,Geometry rule,1.8415008449667607,0.10588099607299425,59.974,2.6392079619966773,0.7033333333333333,0.02192917893786469,0.0,0.0,500,3,0.0,0.0,0.38599999999999995,0.016083117442419748,0.29762482067446605,0.05603149554714691,0.0,0.0,0.018189137754355145,0.0057333796316050515,0.3406593406593406,0.027495411714290156,0.289637473655402,0.012702411130745583,0.00894337834636342,0.006443034235239239,0.5958559687567119,0.003152588305616101,0.23066666666666666,0.018856180831641273,0.2333333333333333,0.019344824171395884,0.06333333333333334,0.004714045207910321
direct_control_ppo,Direct-control PPO,4.060050918668509,0.021697913967450633,68.45466666666665,0.10684984271812775,0.15733333333333333,0.004714045207910321,0.0,0.0,500,3,0.0,0.0,0.14866666666666664,0.0041096093353126546,0.6183952637853348,0.04616467600918547,0.0,0.0,1.0,0.0,0.9173534798534798,0.014519056772626307,0.9709898166000971,0.009857879897421061,1.0,0.0,0.9671350401279998,0.011080467759988066,0.8426666666666667,0.004714045207910321,0.8426666666666667,0.004714045207910321,0.0,0.0
recurrent_ppo,Recurrent PPO,0.947764970849096,0.002247092564431489,323.7673333333333,1.0692331623904787,0.20266666666666666,0.00339934634239518,0.0,0.0,500,3,0.0,0.0,0.19133333333333336,0.0024944382578492965,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.008417937871268422,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.0009428090415820634,0.0006666666666666666,0.0009428090415820634,0.7966666666666667,0.0037712361663282566
recurrent_ppo_direct_init,Recurrent PPO (Direct-init + PPO fine-tune),4.112395682317515,0.033790571701324885,68.28133333333334,0.23430085123381192,0.15,0.008640987597877141,0.0,0.0,500,3,0.0,0.0,0.14133333333333334,0.006599663291074437,0.6380705582833243,0.04504981533427897,0.0,0.0,1.0,0.0,0.9377861721611721,0.03073323804742661,0.9699063091316349,0.0027673030327923327,1.0,0.0,0.9839655488363569,0.012153415460488353,0.85,0.008640987597877155,0.85,0.008640987597877155,0.0,0.0
degnav_memory,DEGNAV + geometry-guided memory,0.045716196795304614,0.0022099223218472706,188.4753333333333,1.655177197630377,0.0,0.0,0.0,0.0,500,3,0.0,0.0,0.4506666666666666,0.021561282171728303,0.32872643510941385,0.087174403153886,0.0,0.0,1.0,0.0,0.9935897435897436,0.009065471553673706,1.0,0.0,0.9889395474501858,0.008706626799389923,1.0,0.0,0.48333333333333334,0.026042699979499477,0.8306666666666667,0.0024944382578492965,0.16933333333333334,0.0024944382578492865
