variant,label,metric,mean,std,seeds,episodes,corridor_type,benchmark_version,raw_csv
deterministic_margin,deterministic margin,timeout_stuck,0.128667,0.021385,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
deterministic_margin,deterministic margin,delta_overall,-0.006000,0.002000,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,overall,0.700667,0.017243,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,straight,0.891279,0.048875,3,320,straight,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,l_shaped,0.797978,0.022749,3,302,l_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,s_shaped,0.749204,0.043132,3,235,s_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,narrow_entry,0.601600,0.036486,3,147,narrow_entry,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,asymmetric,0.468021,0.036977,3,141,asymmetric,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,collision,0.168667,0.010263,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,timeout_stuck,0.130667,0.018903,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_yaw_prior,w/o yaw prior,delta_overall,0.001333,0.004163,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
